@relation InstanceResultListener

@attribute Key_Dataset {'census-chborn-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,32'}
@attribute Key_Run {1}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.RandomForest}
@attribute Key_Scheme_options {'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1','-P 50 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1','-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 -B','-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 -depth 10','-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 -depth 20','-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 -depth 30','-P 100 -I 100 -num-slots 1 -K 5 -M 1.0 -V 0.001 -S 1','-P 100 -I 100 -num-slots 1 -K 10 -M 1.0 -V 0.001 -S 1','-P 100 -I 100 -num-slots 1 -K 20 -M 1.0 -V 0.001 -S 1','-P 100 -I 10 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1','-P 100 -I 25 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1','-P 100 -I 1 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1','-P 5 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1','-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 -depth 3','-P 100 -I 100 -num-slots 1 -K 60 -M 1.0 -V 0.001 -S 1'}
@attribute Key_Scheme_version_ID {1116839470751428698}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureOutOfBagError numeric

@data
'census-chborn-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,32',1,10,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20161130.1636,6737,748,676,72,0,90.374332,9.625668,0,0.841782,0.060319,0.157049,28.603673,48.360888,1298.726472,358.746838,939.979635,1.736265,0.479608,1.256657,950.163838,1.270273,54766.049246,1,290,0,0,1,458,0,0,1,1,1,1,1,1,0.903743,0.059036,0.940964,0.096257,0.871464,0.903743,0.880283,0.849397,0.985911,0.929341,0.52999,0.903743,4.167,0.139,4.03125,0.140625,4031.25,140.625,66781176,3509470,413157,98.930481,37.076649,?,-1
'census-chborn-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,32',1,1,weka.classifiers.trees.RandomForest,'-P 50 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20161130.1636,6736,749,670,79,0,89.452603,10.547397,0,0.826725,0.061841,0.160804,29.326284,49.519058,1300.093363,371.700559,928.392805,1.735772,0.496262,1.23951,937.169745,1.251228,54015.388458,1,291,0,0,1,458,0,0,1,1,1,1,1,1,0.894526,0.058557,0.941443,0.105474,0.854249,0.894526,0.871531,0.838181,0.984998,0.910329,0.504609,0.894526,2.622,0.147,2.46875,0.15625,2468.75,156.25,37757126,3508953,413674,99.198932,37.227414,?,-1
'census-chborn-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,32',1,2,weka.classifiers.trees.RandomForest,'-P 50 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20161130.1636,6736,749,664,85,0,88.651535,11.348465,0,0.814729,0.062516,0.159799,29.649093,49.214198,1298.635439,361.719086,936.916353,1.733826,0.482936,1.25089,942.312284,1.258094,54305.010328,1,291,0,0,1,458,0,0,1,1,1,1,1,1,0.886515,0.0558,0.9442,0.113485,0.850893,0.886515,0.866287,0.831153,0.986512,0.914516,0.490256,0.886515,2.588,0.141,2.46875,0.09375,2468.75,93.75,38441368,3508953,413674,99.465955,38.11749,?,-1
'census-chborn-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,32',1,3,weka.classifiers.trees.RandomForest,'-P 50 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20161130.1636,6736,749,675,74,0,90.12016,9.87984,0,0.837546,0.060222,0.158157,28.56104,48.708463,1298.635439,366.492338,932.143102,1.733826,0.489309,1.244517,941.167788,1.256566,54239.053598,1,291,0,0,1,458,0,0,1,1,1,1,1,1,0.901202,0.059114,0.940886,0.098798,0.865564,0.901202,0.879346,0.846537,0.984826,0.919115,0.52405,0.901202,2.644,0.116,2.546875,0.109375,2546.875,109.375,38818345,3508953,413674,99.065421,36.849132,?,-1
'census-chborn-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,32',1,4,weka.classifiers.trees.RandomForest,'-P 50 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20161130.1636,6736,749,662,87,0,88.384513,11.615487,0,0.808073,0.064399,0.163177,30.541806,50.254621,1298.635439,373.207284,925.428155,1.733826,0.498274,1.235552,931.180314,1.243231,53663.480159,1,291,0.002183,1,0.997817,457,0,0,0.996575,1,0.998285,0.997196,1,1,0.883845,0.067201,0.932799,0.116155,0.838435,0.883845,0.855828,0.818646,0.984692,0.908494,0.475212,0.883845,2.963,0.143,2.828125,0.140625,2828.125,140.625,39850959,3508953,413674,99.465955,39.029818,?,-1
'census-chborn-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,32',1,5,weka.classifiers.trees.RandomForest,'-P 50 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20161130.1636,6736,749,666,83,0,88.918558,11.081442,0,0.818208,0.063877,0.163282,30.298385,50.294448,1298.397354,380.403758,917.993596,1.733508,0.507882,1.225626,929.900196,1.241522,53588.617228,1,290,0,0,1,459,0,0,1,1,1,1,1,1,0.889186,0.059073,0.940927,0.110814,0.852291,0.889186,0.867276,0.832434,0.983707,0.910642,0.492247,0.889186,2.708,0.14,2.59375,0.140625,2593.75,140.625,38763060,3508953,413674,98.931909,37.561193,?,-1
'census-chborn-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,32',1,6,weka.classifiers.trees.RandomForest,'-P 50 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20161130.1636,6737,748,668,80,0,89.304813,10.695187,0,0.822879,0.062968,0.16306,29.882595,50.255272,1295.505542,375.709671,919.795871,1.731959,0.502286,1.229674,929.005367,1.241986,53531.763329,1,290,0,0,1,458,0,0,1,1,1,1,1,1,0.893048,0.067487,0.932513,0.106952,0.867194,0.893048,0.871339,0.83525,0.983313,0.917988,0.524277,0.893048,2.702,0.136,2.65625,0.125,2656.25,125,39532598,3509470,413157,99.064171,38.034759,?,-1
'census-chborn-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,32',1,7,weka.classifiers.trees.RandomForest,'-P 50 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20161130.1636,6737,748,663,85,0,88.636364,11.363636,0,0.811799,0.065653,0.1673,31.157026,51.561809,1295.505542,401.650437,893.855105,1.731959,0.536966,1.194993,907.780341,1.21361,52308.720798,1,290,0,0,1,458,0,0,1,1,1,1,1,1,0.886364,0.066853,0.933147,0.113636,0.844427,0.886364,0.861362,0.824394,0.979633,0.903134,0.483192,0.886364,3.115,0.181,3.09375,0.1875,3093.75,187.5,39323320,3509470,413157,98.395722,38.524955,?,-1
'census-chborn-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,32',1,8,weka.classifiers.trees.RandomForest,'-P 50 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20161130.1636,6737,748,661,87,0,88.368984,11.631016,0,0.808026,0.063373,0.162637,30.074748,50.124664,1295.505542,382.788991,912.716551,1.731959,0.51175,1.220209,919.804198,1.229685,53001.567503,1,290,0,0,1,458,0,0,1,1,1,1,1,1,0.88369,0.065071,0.934929,0.11631,0.840494,0.88369,0.859557,0.821247,0.983275,0.905645,0.482418,0.88369,2.361,0.116,2.3125,0.109375,2312.5,109.375,36375554,3509470,413157,98.796791,38.279857,?,-1
'census-chborn-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,32',1,9,weka.classifiers.trees.RandomForest,'-P 50 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20161130.1636,6737,748,668,80,0,89.304813,10.695187,0,0.823086,0.061743,0.158613,29.301032,48.884594,1295.505542,361.679871,933.825671,1.731959,0.483529,1.24843,938.825396,1.255114,54097.619538,1,290,0,0,1,458,0,0,1,1,1,1,1,1,0.893048,0.0653,0.9347,0.106952,0.878591,0.893048,0.86861,0.837028,0.986578,0.91949,0.514162,0.893048,2.836,0.122,2.765625,0.125,2765.625,125,38701121,3509470,413157,99.197861,37.700535,?,-1
